FrequencyHz,SV1
32.0312,6.66966e-07
32.1289,7.28877e-07
32.2266,7.65311e-07
32.3242,7.83663e-07
32.4219,7.20433e-07
32.5195,6.8789e-07
32.6172,6.17601e-07
32.7148,6.34243e-07
32.8125,6.43402e-07
32.9102,6.97233e-07
33.0078,7.88559e-07
33.1055,7.361e-07
33.2031,7.01929e-07
33.3008,6.91262e-07
33.3984,7.696e-07
33.4961,7.27467e-07
33.5938,6.59717e-07
33.6914,6.88949e-07
33.7891,6.89251e-07
33.8867,7.09216e-07
33.9844,6.92e-07
34.082,7.30315e-07
34.1797,6.58319e-07
34.2773,6.19563e-07
34.375,6.77381e-07
34.4727,5.95185e-07
34.5703,5.55739e-07
34.668,5.92257e-07
34.7656,6.8867e-07
34.8633,6.7744e-07
34.9609,6.26329e-07
35.0586,6.206e-07
35.1562,5.77023e-07
35.2539,5.80886e-07
35.3516,6.25666e-07
35.4492,6.02973e-07
35.5469,5.95331e-07
35.6445,5.70026e-07
35.7422,6.45452e-07
35.8398,6.87797e-07
35.9375,5.58566e-07
36.0352,5.78249e-07
36.1328,5.64761e-07
36.2305,6.83229e-07
36.3281,6.69845e-07
36.4258,5.36235e-07
36.5234,5.09683e-07
36.6211,5.57721e-07
36.7188,4.81271e-07
36.8164,4.61793e-07
36.9141,4.73708e-07
37.0117,5.00533e-07
37.1094,5.18266e-07
37.207,6.75731e-07
37.3047,6.05104e-07
37.4023,6.00807e-07
37.5,5.08212e-07
37.5977,4.88659e-07
37.6953,5.58311e-07
37.793,5.85978e-07
37.8906,5.53467e-07
37.9883,4.78868e-07
38.0859,4.71258e-07
38.1836,5.59634e-07
38.2812,5.64386e-07
38.3789,5.16655e-07
38.4766,5.50053e-07
38.5742,5.3199e-07
38.6719,4.31934e-07
38.7695,4.70306e-07
38.8672,5.27193e-07
38.9648,5.05256e-07
39.0625,4.53417e-07
39.1602,4.75786e-07
39.2578,4.855e-07
39.3555,4.72899e-07
39.4531,4.82258e-07
39.5508,4.68785e-07
39.6484,4.02864e-07
39.7461,4.45433e-07
39.8438,5.05529e-07
39.9414,5.443e-07
40.0391,4.75108e-07
40.1367,4.42604e-07
40.2344,4.5203e-07
40.332,4.30585e-07
40.4297,4.28194e-07
40.5273,4.45672e-07
40.625,4.71078e-07
40.7227,4.33004e-07
40.8203,4.30909e-07
40.918,4.6574e-07
41.0156,4.09607e-07
41.1133,4.36045e-07
41.2109,4.46387e-07
41.3086,4.44314e-07
41.4062,4.13962e-07
41.5039,4.63128e-07
41.6016,5.7127e-07
41.6992,4.58062e-07
41.7969,4.5315e-07
41.8945,5.37447e-07
41.9922,4.2443e-07
42.0898,3.85453e-07
42.1875,4.37246e-07
42.2852,4.09961e-07
42.3828,4.21659e-07
42.4805,4.19056e-07
42.5781,4.02732e-07
42.6758,3.95717e-07
42.7734,4.01679e-07
42.8711,4.03054e-07
42.9688,3.69997e-07
43.0664,4.66035e-07
43.1641,4.17439e-07
43.2617,4.05112e-07
43.3594,3.83872e-07
43.457,3.9749e-07
43.5547,4.83614e-07
43.6523,4.73722e-07
43.75,3.70845e-07
43.8477,4.33636e-07
43.9453,4.44899e-07
44.043,3.70242e-07
44.1406,3.91962e-07
44.2383,3.5669e-07
